"variable","lower","upper","med","real","real.in.83","real.minus.med","percent.error","run_id"
"gorgonianElectivity",-0.189578630881282,0.0285560874503216,-0.0812784885705018,-0.137590944461716,TRUE,-0.0563124558912147,-40.927443380464,40
"fireElectivity",-1.09648056559177,-0.803195987053169,-0.949791119428937,-1.02405325648626,TRUE,-0.0742621370573273,-7.25178466910362,40
"spongeElectivity",-0.561482254742002,-0.323423659702225,-0.442741002209613,-0.392370438966507,TRUE,0.0503705632431056,12.837502074769,40
"scleractinianElectivity",0.808039022327223,1.06076691073976,0.932520898109511,0.721879530415249,FALSE,-0.210641367694262,29.1795734356249,40
"gorgonianElectivity",1.15881185791392,1.44837882443497,1.29979379578448,1.47202881872208,FALSE,0.172235022937598,-11.70051976884,41
"fireElectivity",-1.16500767134959,-0.863222017601883,-1.01310760220045,-1.03754711208436,TRUE,-0.0244395098839043,-2.3555084486532,41
"spongeElectivity",-0.908889557841398,-0.64942910124403,-0.778768573924687,-0.571449343788699,FALSE,0.207319230135988,36.2795464531406,41
"scleractinianElectivity",-0.226266046864619,-0.00547728799153596,-0.116421240080437,-0.0767891104349022,TRUE,0.0396321296455351,51.6116535548789,41
"gorgonianElectivity",-1.6124232433541,-1.1908846733091,-1.39212172487236,-1.54550313536287,TRUE,-0.15338141049051,-9.92436747496454,42
"fireElectivity",0.678915266633687,0.950267598212525,0.813336281627608,0.574196805059663,FALSE,-0.239139476567945,41.6476501542178,42
"spongeElectivity",0.564492229363884,0.823890059902748,0.691687957843391,0.539068868343377,FALSE,-0.152619089500013,28.3116125716979,42
"scleractinianElectivity",-6.88839712019611,-2.2445773862659,-4.29059435693559,-1.87912696299922,FALSE,2.41146739393637,128.329135892313,42
"gorgonianElectivity",-0.47920924974876,-0.272518401403594,-0.376173818351797,-0.248933255655566,FALSE,0.127240562696231,51.1143287630023,43
"fireElectivity",0.279418380545404,0.474078393837445,0.375172396988929,0.515388673918764,FALSE,0.140216276929835,-27.2059290445206,43
"spongeElectivity",0.0555771648457931,0.257645285573886,0.155592387573544,0.442785820060402,FALSE,0.287193432486858,-64.8605758078886,43
"scleractinianElectivity",-0.294680888827354,-0.105514342034503,-0.200410402449242,-0.117116618623996,TRUE,0.083293783825246,71.1203796727275,43
"gorgonianElectivity",0.663315309206081,0.920677228630535,0.790281337033755,0.651552983348068,FALSE,-0.138728353685687,21.2919528006484,44
"fireElectivity",-0.459554141474464,-0.228241464420477,-0.345102090791338,-0.492699000387281,FALSE,-0.147596909595943,-29.9568112539149,44
"spongeElectivity",0.0818959093659001,0.31370626621907,0.196926123083651,0.274204588618376,TRUE,0.0772784655347248,-28.182776197913,44
"scleractinianElectivity",-1.34074067983676,-0.990775613343506,-1.1592241545738,-1.30416429406882,TRUE,-0.144940139495012,-11.1136411381743,44
"gorgonianElectivity",0.607490966246309,0.815397874730837,0.710352594160127,1.1773236654154,FALSE,0.466971071255274,-39.6637802307754,45
"fireElectivity",-0.0652821980460978,0.124160022354935,0.0297166435278029,0.192566454895148,FALSE,0.162849811367345,-84.5681099836503,45
"spongeElectivity",-0.482542168629726,-0.288997267971734,-0.3864877890001,-0.00723908878469659,FALSE,0.379248700215403,5238.90107574221,45
"scleractinianElectivity",-0.634360752265518,-0.424582143050959,-0.528408328198101,-0.462310513259255,TRUE,0.0660978149388455,14.297277055817,45
"gorgonianElectivity",-1.09867547662681,-0.824676002128991,-0.961041058147867,-0.913036074068708,TRUE,0.0480049840791599,5.25773136928075,46
"fireElectivity",-0.484341740899133,-0.275660314426105,-0.379975672139785,-0.283087085221088,TRUE,0.0968885869186967,34.2257178009473,46
"spongeElectivity",0.712759824533779,0.94408657328134,0.82719423872969,1.02386396802922,FALSE,0.196669729299531,-19.2085799911574,46
"scleractinianElectivity",0.0576823622652103,0.261227136891671,0.158187271371787,0.229624508779677,TRUE,0.0714372374078897,-31.1104584556491,46
"gorgonianElectivity",-0.106251571545183,0.0396774458462655,-0.0335229160475525,0.625906596890689,FALSE,0.659429512938242,-105.355897543513,47
"fireElectivity",-0.118818438638792,0.0244285959410496,-0.0474907380889013,0.817892823041214,FALSE,0.865383561130115,-105.806474485534,47
"spongeElectivity",-0.111692877670508,0.0327548752443236,-0.0398446277230707,0.846438126417034,FALSE,0.886282754140105,-104.707329039127,47
"scleractinianElectivity",0.221579035161568,0.366541174011027,0.292728664595852,1.33169732315778,FALSE,1.03896865856193,-78.0183785380209,47
"gorgonianElectivity",1.72240163177288,2.1211913055127,1.91596931870277,1.30675787046291,FALSE,-0.609211448239863,46.6200710942765,48
"fireElectivity",-0.886646250713597,-0.608974009226798,-0.749192605688259,-0.843195927384003,TRUE,-0.0940033216957439,-11.148455375892,48
"spongeElectivity",-6.84227709246815,-2.44165408698243,-4.33108287987434,-2.45610734589455,TRUE,1.87497553397979,76.3393154258446,48
"scleractinianElectivity",-0.776606323731552,-0.497945340558516,-0.638994974598513,-0.926232119437339,FALSE,-0.287237144838826,-31.0113565283522,48
"gorgonianElectivity",0.516230314899453,0.919487368984927,0.710846992527011,-0.129966893255263,FALSE,-0.840813885782274,-646.944667770788,49
"fireElectivity",-0.524824309467842,-0.116038378349453,-0.323123260948084,-0.865052891545505,FALSE,-0.541929630597421,-62.6469937149403,49
"spongeElectivity",-0.673323911503344,-0.272000572947343,-0.473504025326103,-0.825638182890832,FALSE,-0.352134157564729,-42.6499361175123,49
"scleractinianElectivity",-0.755376896543383,-0.311578718132147,-0.531592038015457,-0.954139075093771,FALSE,-0.422547037078313,-44.2856862388522,49
"gorgonianElectivity",0.288842794929333,0.438049816779308,0.362746431776156,1.56062212855081,FALSE,1.19787569677466,-76.7562932025704,50
"fireElectivity",-0.127656269743015,0.0191294858458057,-0.0544892783561486,0.693253280037525,FALSE,0.747742558393674,-107.859938052251,50
"spongeElectivity",-0.94971764016774,-0.761666800603437,-0.855932399338331,-0.407801296127425,FALSE,0.448131103210906,109.889573051008,50
"scleractinianElectivity",0.401650634529166,0.554122496354498,0.477162567239372,1.75925871846703,FALSE,1.28209615122766,-72.8770667878141,50
